global_cluster,global_docs,global_local,global_tf_idf,hash,local_avg_weight,word
1,4146,28,1,2160,27,mecca
1,3870,19,1,2220,18,hand
1,4337,19,1,2296,18,stone
1,4416,8,1,2105,7,non_believ
1,4285,15,1,2083,14,earth
1,4405,8,1,2231,7,forehead
1,0,29,1,2276,28,prophet
1,4422,11,1,2079,10,suratan_najm
1,3488,28,1,2253,27,man
1,4376,17,1,2462,16,abdullah_bin_masud
1,4411,15,1,2195,14,jarir_bin_abdullah
1,3368,17,1,2003,16,prayer
1,4043,23,1,2387,22,muslim
1,4410,18,1,2451,17,advic
1,4339,27,1,2476,26,zakat
1,4347,20,1,2352,19,allegi
1,4354,25,1,2347,24,pledg
1,4387,21,1,2390,20,khutba
1,4344,13,1,2251,12,pray
1,4261,20,1,2201,19,rakat
1,4137,15,1,2304,14,mosqu
1,4310,18,1,2290,17,jabir
1,4253,11,1,2283,10,reward
1,4330,24,1,2188,23,umar_bin_al_khattab
1,1191,32,1,2191,31,apostl
1,4356,26,1,2318,25,emigr
1,3908,15,1,2151,14,person
1,4361,13,1,2147,12,intent
1,4217,15,1,2152,14,deed
1,4400,8,1,2353,7,benefit
1,179,47,1,2143,46,allah
1,4190,13,1,2367,12,woman
1,4310,20,1,2223,19,state
1,4417,6,1,2347,5,bell
1,4221,22,1,2032,21,believ
1,4383,12,1,2163,11,talk
1,4363,26,1,2238,25,inspir
1,4409,9,1,2246,8,sweat
1,4267,29,1,2038,28,mother
1,3538,23,1,2298,22,aisha
1,4329,22,1,2382,21,divin
1,4293,32,1,2293,31,angel
1,4421,13,1,2100,12,al_harith_bin_hisham
1,4355,13,1,2580,12,faith
1,4377,16,1,2304,15,ring
1,4398,17,1,2339,16,form
1,4308,17,1,2145,16,food
1,4419,93,1,2206,92,waraqa
1,4414,55,1,2132,54,hira
1,4404,55,1,2302,54,khadija
1,4161,40,1,2384,39,lord
1,4313,20,1,2155,19,dream
1,4082,17,1,2339,16,wife
1,4417,26,1,2203,25,exist
1,4398,41,1,2263,40,cave
1,4136,16,1,2420,15,someth
1,4105,23,1,2434,22,till
1,4406,17,1,2198,16,cousin
1,4282,26,1,2096,25,name
1,4280,25,1,2286,24,famili
1,4406,17,1,2267,16,desir
1,4411,34,1,2331,33,seclus
1,4421,28,1,2426,27,khuwailid
1,4230,12,1,2294,11,one
1,4418,41,1,2343,40,commenc
1,4419,26,1,2325,25,hebrew
1,4403,22,1,2081,21,stay
1,3481,21,1,2137,20,day
1,4402,14,1,2301,13,love
1,4335,26,1,2189,25,truth
1,4410,21,1,2127,20,clot
1,4300,13,1,2205,12,journey
1,3919,15,1,2191,14,time
1,4247,16,1,2279,15,period
1,4403,20,1,2373,19,nephew
1,4419,17,1,2162,16,likewis
1,4141,29,1,2257,28,muhammad
1,4398,16,1,2198,15,tongu
1,4333,14,1,2195,13,_ibn_abba
1,4390,12,1,2480,11,revel
1,4340,113,1,2281,112,gabriel
1,4414,22,1,2177,21,explan
1,4281,23,1,2051,22,statement
1,4146,22,1,2187,21,quran
1,4288,13,1,2391,12,front
1,4418,33,1,2440,32,therewith
1,4412,31,1,2494,30,lip
1,4388,15,1,2028,14,said_bin_jubair
1,4384,17,1,2248,16,troubl
1,4409,22,1,2241,21,concern
1,4408,19,1,2328,18,hast
1,4416,31,1,1893,30,move
1,4212,21,1,2002,20,said
1,4417,7,1,2353,6,madan
1,3990,11,1,2153,10,narrated_ibn_abba
1,4420,8,1,2171,7,generos
1,4422,4,1,2056,3,readi
1,4421,9,1,2325,8,peak
