cluster,global_distance,global_tfidf,local_distance,radious,word
1,2240,0.0077647369,0,2240.0,of_ibn_qauq
1,2239,0.0021077134,50,2239.558215363021,husk
1,2224,0.0266996674,82,2225.5111772354685,matron
1,2240,0.0011092481,0,2240.0,khawari
1,2230,0.0172894448,81,2231.470591336574,blind
1,2238,0.0030436677,66,2238.9729788454347,allah_fear
1,2232,0.0080044160,11,2232.027105570181,barza
1,2239,0.0021077134,50,2239.558215363021,lat
1,2239,0.0021077134,50,2239.558215363021,al_firdau
1,2193,0.0349580878,81,2194.4953861879044,conquest
1,2240,0.0011092481,0,2240.0,zar
1,2225,0.0253235701,75,2226.2636860893185,murder
1,2056,0.1367213109,70,2057.1912891124152,year
1,2240,0.0011092481,0,2240.0,_bin_abu
1,2239,0.0084308537,50,2239.558215363021,said_bin_abu
1,2235,0.0084429508,0,2235.0,exchang
1,2240,0.0011092481,0,2240.0,dote
1,2239,0.0021077134,50,2239.558215363021,headach
1,2103,0.1091453712,72,2104.232163997119,daughter
1,2239,0.0021077134,0,2239.0,asim_bin_umar
1,2218,0.0300214200,60,2218.811393516808,inherit
1,2240,0.0011092481,0,2240.0,al_hari_bin_amr
1,2211,0.0220444927,66,2211.984855282694,lah
1,2240,0.0011092481,0,2240.0,khunais_bin_
1,2240,0.0011092481,0,2240.0,baadta
1,2239,0.0021077134,50,2239.558215363021,tender
1,2239,0.0021077134,0,2239.0,seri
1,2120,0.1374609863,61,2120.8774127704787,oath
1,2212,0.0288325404,72,2213.171480025893,la
1,2213,0.0290131635,60,2213.8132260875127,third
1,2240,0.0011092481,0,2240.0,wa_th_thalji
1,2214,0.0202154714,55,2214.6830473004484,israel
1,2240,0.0022184962,0,2240.0,sheik
1,2235,0.0056286338,0,2235.0,muzaina
1,2228,0.0109643742,84,2229.582920637849,sawiq
1,2224,0.0137543741,82,2225.5111772354685,wash
1,2228,0.0126512010,84,2229.582920637849,event
1,2237,0.0039362872,75,2238.256911080585,syria
1,2237,0.0039362872,50,2237.5587143134367,al_kufa
1,2207,0.0244200605,64,2207.927761499456,muawiya
1,2232,0.0097831751,44,2232.433649629928,step
1,2208,0.0267212934,57,2208.735611158565,pleas
1,2118,0.0779967687,69,2119.123639620869,journey
1,2223,0.0144305028,55,2223.680282774482,bahrain
1,2236,0.0067141513,40,2236.357753133429,coitu
1,2240,0.0011092481,0,2240.0,al_awamir
1,2239,0.0021077134,0,2239.0,twentieth
1,2240,0.0011092481,0,2240.0,al_jumua
1,2239,0.0021077134,50,2239.558215363021,destitut
1,2239,0.0021077134,50,2239.558215363021,saiyar_bin_salama
1,2229,0.0102424493,75,2230.2614196546556,citi
1,2204,0.0304011015,91,2205.8778297992844,wala
1,2192,0.0548999010,32,2192.2335641988516,amongst
1,2240,0.0011092481,0,2240.0,fransa
1,2235,0.0150096902,50,2235.559214156494,castl
1,2240,0.0011092481,0,2240.0,suburb
1,2240,0.0011092481,0,2240.0,albara
1,2239,0.0021077134,0,2239.0,sud
1,2239,0.0021077134,0,2239.0,bathroom
1,2239,0.0021077134,0,2239.0,addarda
1,2229,0.0102424493,91,2230.8567860801822,yahya
1,2240,0.0011092481,0,2240.0,khair
1,2237,0.0039362872,75,2238.256911080585,khabbab_bin_al_art
1,2221,0.0165484619,80,2222.440325408086,wed
1,2240,0.0011092481,0,2240.0,dominion
1,2232,0.0080044160,66,2232.9755932387616,street
1,2236,0.0057549869,80,2237.4306693169287,rat
1,2240,0.0011092481,0,2240.0,solomon_bin_david
1,2237,0.0039362872,75,2238.256911080585,hamidun
1,2232,0.0124513138,88,2233.734093396078,portent
1,2235,0.0056286338,50,2235.559214156494,wave
1,2240,0.0011092481,0,2240.0,bi_hamdihi
1,2232,0.0080044160,66,2232.9755932387616,vain
1,2238,0.0030436677,33,2238.243284363878,euphrat
1,2240,0.0011092481,0,2240.0,burda_bin_abdulla
1,2240,0.0011092481,0,2240.0,masjid_ul_aqsa
1,2239,0.0021077134,50,2239.558215363021,sexual
1,2240,0.0011092481,0,2240.0,al_mubashshirat
1,2238,0.0030436677,0,2238.0,sunday
1,2239,0.0021077134,50,2239.558215363021,citat
1,2240,0.0011092481,0,2240.0,then_ibn_al_khattab
1,2233,0.0090377307,50,2233.5597148945894,delay
1,2240,0.0011092481,0,2240.0,gel
1,2227,0.0125098222,78,2228.365544519121,trade
1,2239,0.0021077134,0,2239.0,fateh
1,2240,0.0011092481,0,2240.0,ila
1,2239,0.0021077134,0,2239.0,abdul_muttalib
1,2199,0.0393365668,61,2199.8459036941654,left
1,2236,0.0095916448,60,2236.8048640862708,resembl
1,2238,0.0050727794,33,2238.243284363878,deliveri
1,2165,0.0769260641,75,2166.2986867004283,allegi
1,2240,0.0011092481,0,2240.0,al_mujmir
1,2240,0.0011092481,0,2240.0,fare
1,2212,0.0362254995,51,2212.587851363195,river
1,2229,0.0221919735,66,2229.976905710012,wear
1,2128,0.0696148392,66,2129.0232502253234,compani
1,2201,0.0278648709,70,2202.1128490611013,allahumma
1,2240,0.0011092481,0,2240.0,al_ashariyun
1,2220,0.0203233368,52,2220.6089254976887,hunger
1,2239,0.0021077134,50,2239.558215363021,fadakiyya
1,2235,0.0056286338,83,2236.5406323158986,grief
1,2240,0.0011092481,0,2240.0,mudhammam
1,2227,0.0141777985,28,2227.1760145978583,shape
1,2212,0.0214395814,44,2212.4375697406695,humaid
1,2215,0.0286401980,53,2215.6339950452107,return
1,2240,0.0011092481,0,2240.0,dawud
1,2226,0.0132027425,86,2227.660656383732,oil
1,2235,0.0131334790,66,2235.9742842886185,leadership
1,2239,0.0021077134,50,2239.558215363021,saiba
1,2239,0.0021077134,50,2239.558215363021,qaba
1,2238,0.0030436677,66,2238.9729788454347,suhaib
1,2237,0.0039362872,75,2238.256911080585,abdullah_bin_azzubair
1,2240,0.0011092481,0,2240.0,gave
1,2240,0.0011092481,0,2240.0,utmost
1,2221,0.0157604399,95,2223.0308140014613,rami
1,2238,0.0030436677,66,2238.9729788454347,saidi
1,2239,0.0021077134,0,2239.0,choos
1,2207,0.0495583580,52,2207.6125112890622,smell
1,2217,0.0183408774,54,2217.657547954598,musalla
1,2239,0.0021077134,50,2239.558215363021,abdullah_bin_utba
1,2226,0.0123775711,66,2226.9782217165935,uqba
1,2232,0.0080044160,55,2232.6775405328913,adi
1,2240,0.0011092481,0,2240.0,kirman
1,2239,0.0021077134,50,2239.558215363021,scarciti
1,2221,0.0157604399,85,2222.625924441628,flesh
1,2197,0.0499250285,79,2198.419887100733,harm
1,2239,0.0021077134,50,2239.558215363021,crop
1,2239,0.0021077134,0,2239.0,al_azraq_bin_qai
1,2232,0.0097831751,55,2232.6775405328913,obligatori
1,2240,0.0011092481,0,2240.0,hari
1,2235,0.0056286338,16,2235.0572699597656,hill
1,2239,0.0021077134,0,2239.0,duel
1,2240,0.0011092481,0,2240.0,thaalba
1,2240,0.0011092481,0,2240.0,muwarriq
1,2240,0.0011092481,0,2240.0,as_saksaki
1,2236,0.0095916448,60,2236.8048640862708,open
1,2220,0.0242316708,38,2220.3252014063164,cow
1,2229,0.0196313612,66,2229.976905710012,spirit
1,2231,0.0087635904,40,2231.3585547822654,id_ul_fitr
1,2236,0.0047958224,40,2236.357753133429,qurra
1,2240,0.0011092481,0,2240.0,against_ibn_zubair
1,2236,0.0057549869,60,2236.8048640862708,robberi
1,2240,0.0011092481,0,2240.0,nikah_al_muta
1,2240,0.0011092481,0,2240.0,salama_bin_abdur_rahman_bin_auf
1,2240,0.0011092481,0,2240.0,ajar
1,2237,0.0039362872,75,2238.256911080585,halal
1,2239,0.0021077134,0,2239.0,abul_qasim
1,2238,0.0030436677,33,2238.243284363878,aris
1,2216,0.0295949630,68,2217.043075810662,cave
1,2191,0.0333402855,85,2192.6481705918986,abdullah_bin_amr
1,2219,0.0170630714,90,2220.82439647983,talbiya
1,2159,0.1482675817,68,2160.070600698042,wa
1,2240,0.0011092481,0,2240.0,conquer
1,2240,0.0011092481,0,2240.0,abdur_rahman_bin_abdullah_bin_abdur_rahman_bin_abi
1,2240,0.0011092481,0,2240.0,mustaghnaanhu
1,2218,0.0292516400,47,2218.4979152570777,weight
1,2240,0.0011092481,0,2240.0,mabad_bin_hil
1,2238,0.0040582235,66,2238.9729788454347,stage
1,2231,0.0087635904,80,2232.433873600739,abdur_rahman_bin_abu
1,2240,0.0011092481,0,2240.0,fath_ul_bari
1,2238,0.0030436677,66,2238.9729788454347,occup
1,2238,0.0101455588,66,2238.9729788454347,of_ibn_masud
1,2238,0.0040582235,33,2238.243284363878,barter
1,2238,0.0050727794,0,2238.0,repay
1,2229,0.0119495242,58,2229.7544707882075,astray
1,2240,0.0011092481,0,2240.0,hubab
1,2238,0.0030436677,66,2238.9729788454347,delight
1,2139,0.1044528611,50,2139.5843054200973,drink
1,2240,0.0011092481,0,2240.0,idha_s_samau_n_shaqqat
1,2240,0.0011092481,0,2240.0,mujahidin
1,2240,0.0011092481,0,2240.0,yadaik
1,2233,0.0072301845,50,2233.5597148945894,long
1,2238,0.0030436677,66,2238.9729788454347,fought
1,2240,0.0011092481,0,2240.0,wabr
1,2240,0.0011092481,0,2240.0,dreamer
1,2208,0.0274434905,78,2209.3772878347418,make
1,2240,0.0011092481,0,2240.0,wal_barad
1,2239,0.0021077134,0,2239.0,hungri
1,2239,0.0021077134,50,2239.558215363021,dhimmi
1,2240,0.0011092481,0,2240.0,as_salt
1,2237,0.0039362872,0,2237.0,ration
1,1875,0.1453740793,67,1876.196684785473,medina
1,2240,0.0011092481,0,2240.0,cottag
1,2236,0.0047958224,40,2236.357753133429,taiba
1,2239,0.0031615701,50,2239.558215363021,exil
1,2234,0.0064390455,85,2235.616469790827,qainuqa
1,2236,0.0047958224,80,2237.4306693169287,ourselv
1,2238,0.0030436677,0,2238.0,jafar_bin_abi
1,2239,0.0021077134,50,2239.558215363021,so_ibn_
1,2228,0.0143380278,76,2229.2958529544703,search
1,2240,0.0011092481,0,2240.0,khalid_ibn_said_bin_al_a
1,2239,0.0021077134,0,2239.0,hernia
1,2239,0.0021077134,50,2239.558215363021,non_arab
1,2239,0.0021077134,50,2239.558215363021,tashahhud
1,2211,0.0220444927,63,2211.897375557917,ubai_bin_kab
1,2171,0.0484853494,51,2171.5989500826345,nobodi
1,2240,0.0011092481,0,2240.0,al_jarada
1,2186,0.0569005166,60,2186.823266750196,arrow
1,2239,0.0021077134,0,2239.0,juhaim
1,2240,0.0011092481,0,2240.0,lent
1,2233,0.0090377307,75,2234.2591613329014,descript
1,2154,0.0989111483,71,2155.169830895004,boy
1,2212,0.0251360609,65,2212.9548120104037,mind
1,2240,0.0011092481,0,2240.0,ishaq_ash_shaibani
1,2240,0.0011092481,0,2240.0,hitatun
1,2240,0.0011092481,0,2240.0,bahira
1,2237,0.0039362872,0,2237.0,salama_bin_hisham
1,2236,0.0047958224,20,2236.0894436493368,pig
1,2147,0.1140379019,67,2148.045157812098,prostrat
1,2235,0.0056286338,50,2235.559214156494,dajjal
1,2239,0.0021077134,0,2239.0,busr
1,2240,0.0011092481,0,2240.0,rabbaka
1,2240,0.0011092481,0,2240.0,amr_bin_salima
1,2219,0.0209410422,54,2219.65695547758,arriv
1,2240,0.0011092481,0,2240.0,umaima
1,2232,0.0097831751,66,2232.9755932387616,defeat
1,2240,0.0022184962,0,2240.0,scoop
1,2236,0.0067141513,20,2236.0894436493368,prolong
1,2240,0.0011092481,0,2240.0,nijran
1,2240,0.0011092481,0,2240.0,al_mutawakkil
1,2211,0.0227793092,6,2211.0081410976304,wail
1,2239,0.0021077134,50,2239.558215363021,locat
1,2223,0.0200423649,72,2224.165686274294,fat
1,2233,0.0090377307,75,2234.2591613329014,suit
1,2234,0.0064390455,14,2234.043867071549,_ibn_masud
1,2233,0.0090377307,87,2234.694162519784,shi
1,2205,0.0277151770,69,2206.079327676138,ear
1,2137,0.0846548606,45,2137.4737425287826,group
1,2210,0.0299496460,51,2210.5883832138447,judgment
1,2214,0.0247077984,77,2215.3385745750015,repent
1,2226,0.0123775711,53,2226.6308629856003,junub
1,2239,0.0021077134,0,2239.0,khabt
1,2206,0.0300043209,82,2207.523499308671,direct
1,2215,0.0195959250,92,2216.9097861663204,abdur_rahman_bin_auf
1,2231,0.0105163085,90,2232.814591496571,irrig
1,2227,0.0225176800,64,2227.9194330136806,famin
1,2237,0.0039362872,75,2238.256911080585,injuri
