cluster,global_distance,global_tfidf,local_distance,radious,word
1,884,0.0011092481,0,884.0,dhul_qaada
1,884,0.0011092481,0,884.0,pharoah
1,884,0.0011092481,0,884.0,luck
1,849,0.0277151770,91,853.8629866670648,ear
1,883,0.0021077134,50,884.4144955845081,two_third
1,876,0.0080044160,55,877.724899954422,zuraiq
1,884,0.0011092481,0,884.0,bani_ad_dil
1,884,0.0011092481,0,884.0,yakhsifan
1,884,0.0011092481,0,884.0,zar
1,884,0.0011092481,0,884.0,dhi_l_hiija
1,878,0.0073589092,85,882.1048690490264,palat
1,700,0.1367213109,82,704.7864924925846,year
1,880,0.0057549869,80,883.6288813749809,rat
1,852,0.0238325049,72,855.0368413115309,usama
1,867,0.0184389757,77,870.4125458654648,earn
1,883,0.0021077134,50,884.4144955845081,headach
1,879,0.0056286338,66,881.474333148731,bell
1,747,0.1091453712,79,751.1657606680433,daughter
1,862,0.0300214200,73,865.0855449029305,inherit
1,871,0.0116758341,85,875.1377034501485,maktum
1,880,0.0047958224,80,883.6288813749809,epidem
1,884,0.0011092481,0,884.0,remedi
1,855,0.0220444927,86,859.3142614899394,lah
1,884,0.0011092481,0,884.0,precinct
1,856,0.0288325404,96,861.3663564360986,la
1,884,0.0011092481,0,884.0,as
1,820,0.0650530649,80,823.8931969618392,worship
1,857,0.0290131635,92,861.9240105716976,third
1,858,0.0202154714,92,862.9183043602679,israel
1,840,0.0401732131,82,843.9928909653208,portion
1,883,0.0021077134,50,884.4144955845081,hum
1,868,0.0137543741,82,871.8646683975674,wash
1,872,0.0126512010,92,876.8397801194925,event
1,883,0.0031615701,0,883.0,notic
1,851,0.0244200605,88,855.5378425294816,muawiya
1,792,0.0670762425,69,795.0,bath
1,762,0.0779967687,86,766.8376620902236,journey
1,833,0.0489547558,55,834.8137516835716,bed
1,882,0.0030436677,66,884.4659405539594,nafr
1,811,0.0706237516,93,816.3148902231295,heaven
1,884,0.0011092481,0,884.0,az_zuhrl
1,871,0.0141777985,78,874.4855630597912,sweat
1,884,0.0011092481,0,884.0,subhanaka
1,861,0.0443237871,95,866.2251439435362,slaughter
1,873,0.0102424493,83,876.9367137941027,citi
1,883,0.0021077134,50,884.4144955845081,alabba
1,836,0.0548999010,93,841.1569413611231,amongst
1,883,0.0021077134,0,883.0,guilt
1,758,0.1065956550,72,761.4118465062124,husband
1,876,0.0168982115,77,879.3776208205437,line
1,880,0.0047958224,0,880.0,commenc
1,880,0.0047958224,40,880.9086218218097,instal
1,849,0.0255832403,91,853.8629866670648,ibrahim
1,873,0.0102424493,91,877.7300268305739,yahya
1,884,0.0011092481,0,884.0,rate
1,882,0.0030436677,66,884.4659405539594,bunch
1,881,0.0039362872,25,881.3546391776695,storekeep
1,881,0.0039362872,0,881.0,halqa
1,880,0.0067141513,60,882.0430828479979,respit
1,873,0.0136565991,91,877.7300268305739,veget
1,873,0.0102424493,83,876.9367137941027,whenc
1,882,0.0030436677,0,882.0,ghassan
1,834,0.0338718013,74,837.2765373519075,asma
1,883,0.0031615701,50,884.4144955845081,pardon
1,884,0.0011092481,0,884.0,endur
1,884,0.0011092481,0,884.0,qada
1,867,0.0144305028,94,872.0808448762076,ubai
1,872,0.0109643742,0,872.0,ursa
1,884,0.0011092481,0,884.0,loom
1,755,0.1210342042,88,760.1111760788681,angel
1,871,0.0150117866,71,873.8890089708188,concern
1,883,0.0021077134,50,884.4144955845081,uqiyya
1,882,0.0060873353,66,884.4659405539594,howdah
1,880,0.0047958224,80,883.6288813749809,midst
1,866,0.0174831210,57,867.8738387576849,ailment
1,884,0.0022184962,0,884.0,mad
1,858,0.0321950101,81,861.8149453333934,present
1,883,0.0021077134,50,884.4144955845081,agoni
1,877,0.0090377307,75,880.2011133826178,delay
1,856,0.0399219791,89,860.6143154747078,work
1,870,0.0132027425,73,873.0572718899946,extent
1,884,0.0011092481,0,884.0,manarh
1,865,0.0157604399,65,867.438758645243,rabbana
1,866,0.0150990590,73,869.071343446555,abdullah_bin_az_zubair
1,843,0.0393365668,97,848.5623135633588,left
1,880,0.0095916448,40,880.9086218218097,resembl
1,846,0.0797994390,97,851.54271766013,rain
1,875,0.0087635904,60,877.05473033329,al_baida
1,884,0.0011092481,0,884.0,albaida
1,879,0.0065667395,83,882.9099614343469,idea
1,881,0.0049203590,75,884.1866318826586,myself
1,856,0.0362254995,96,861.3663564360986,river
1,873,0.0221919735,83,876.9367137941027,wear
1,884,0.0011092481,0,884.0,muauwid
1,772,0.0696148392,94,777.7017423151372,compani
1,819,0.0446965448,84,823.2964229243316,ignor
1,845,0.0278648709,87,849.4668916444007,allahumma
1,882,0.0030436677,66,884.4659405539594,hibra
1,864,0.0203233368,95,869.2071099571149,hunger
1,841,0.0410342700,90,845.8019862828415,sleep
1,879,0.0056286338,83,882.9099614343469,grief
1,858,0.0314462889,96,863.3539251083532,victori
1,871,0.0141777985,85,875.1377034501485,shape
1,858,0.0396822217,74,861.185229785091,perform
1,883,0.0021077134,50,884.4144955845081,laqisat
1,878,0.0091986365,57,879.8482823760014,flank
1,876,0.0080044160,66,878.4827829843906,satisfact
1,870,0.0132027425,66,872.4998567335126,oil
1,882,0.0030436677,66,884.4659405539594,suhaib
1,881,0.0039362872,50,882.4177015450223,abdullah_bin_azzubair
1,884,0.0011092481,0,884.0,_bin_azzubair
1,878,0.0064390455,57,879.8482823760014,hassan_bin_thabit
1,884,0.0011092481,0,884.0,thami
1,767,0.0650244471,84,771.5860289041009,salama
1,876,0.0088937955,88,880.4089958649901,treatment
1,851,0.0495583580,73,854.12528355037,smell
1,884,0.0011092481,0,884.0,ursa_bin_azzubair
1,880,0.0047958224,80,883.6288813749809,awaq
1,884,0.0011092481,0,884.0,abdur_rahman_bin_al_hakam
1,875,0.0087635904,70,877.7955342789116,glitter
1,841,0.0499250285,88,845.5915089450698,harm
1,879,0.0056286338,83,882.9099614343469,expector
1,876,0.0097831751,77,879.3776208205437,obligatori
1,884,0.0011092481,0,884.0,favorit
1,793,0.0537954156,80,797.0250937078456,fajr
1,879,0.0056286338,83,882.9099614343469,hill
1,884,0.0011092481,0,884.0,hither
1,864,0.0242316708,90,868.6748528649831,cow
1,883,0.0021077134,50,884.4144955845081,enough
1,866,0.0150990590,89,870.5613131767343,sadaqa
1,883,0.0031615701,50,884.4144955845081,fore_fath
1,884,0.0011092481,0,884.0,against_ibn_zubair
1,881,0.0039362872,0,881.0,arfida
1,880,0.0057549869,80,883.6288813749809,foretel
1,876,0.0097831751,88,880.4089958649901,think
1,884,0.0011092481,0,884.0,at_ibn_az_zubair
1,884,0.0011092481,0,884.0,oneself
1,867,0.0144305028,88,871.4545312292547,mat
1,843,0.0420970276,90,847.7906581226288,dust
1,835,0.0333402855,98,840.7312293474057,abdullah_bin_amr
1,883,0.0021077134,0,883.0,non_travel
1,844,0.0284265200,82,847.9740562069102,arafat
1,882,0.0050727794,0,882.0,length
1,876,0.0097831751,88,880.4089958649901,root
1,867,0.0144305028,66,869.5084818447718,ethiopia
1,567,0.2314883464,87,573.6357729430758,till
1,882,0.0030436677,66,884.4659405539594,occup
1,884,0.0011092481,0,884.0,__nay
1,787,0.1999385360,88,791.9046659794346,fast
1,872,0.0109643742,84,876.0365289187432,jafar
1,838,0.0513066700,80,841.8099547997755,pot
1,808,0.0468746400,88,812.777952456881,isha
1,824,0.0448086931,80,827.8743866070504,age
1,783,0.1044528611,93,788.5036461551715,drink
1,884,0.0011092481,0,884.0,khasafat
1,883,0.0021077134,50,884.4144955845081,gin
1,884,0.0011092481,0,884.0,that_ibn_zubair
1,873,0.0102424493,58,874.9245681771657,as_safa
1,829,0.0390966571,92,834.0893237537572,who
1,883,0.0021077134,50,884.4144955845081,pen
1,884,0.0011092481,0,884.0,adhabil_qabri
1,847,0.0281381518,97,852.5362162395214,etc
1,852,0.0274434905,78,855.5629725508228,make
1,884,0.0011092481,0,884.0,wheat_bread
1,879,0.0056286338,83,882.9099614343469,martyrdom
1,809,0.0769260641,92,814.2143452433149,allegi
1,882,0.0040582235,66,884.4659405539594,lillah
1,881,0.0039362872,75,884.1866318826586,ration
1,519,0.1453740793,87,526.2413894782508,medina
1,881,0.0039362872,75,884.1866318826586,disgust
1,865,0.0157604399,80,868.691544795965,kith
1,884,0.0011092481,0,884.0,stupor
1,884,0.0011092481,0,884.0,alaihi_s_salam
1,876,0.0088937955,88,880.4089958649901,moment
1,884,0.0011092481,0,884.0,khalid_ibn_said_bin_al_a
1,884,0.0011092481,0,884.0,fie
1,798,0.0823272432,87,802.7284721498297,call
1,871,0.0133438103,92,875.8453059758898,act
1,855,0.0220444927,96,860.3725937057735,ubai_bin_kab
1,874,0.0095091946,90,878.6216478097953,ad
1,815,0.0484853494,90,819.9542670173746,nobodi
1,868,0.0145634549,76,871.3208364316786,pilgrim
1,830,0.0569005166,96,835.5333625894301,arrow
1,817,0.0875714713,97,822.7381114303628,milk
1,884,0.0011092481,0,884.0,breathless
1,798,0.0989111483,81,802.1003677844813,boy
1,856,0.0251360609,89,860.6143154747078,mind
1,637,0.1575664874,84,642.5145912740037,order
1,884,0.0011092481,0,884.0,yusuf_bin_mahk
1,884,0.0011092481,0,884.0,roast
1,852,0.0267212934,93,857.0606746316156,pleas
1,868,0.0161816166,58,869.9356298025734,desir
1,863,0.0209410422,90,867.6802406416779,arriv
1,880,0.0047958224,60,882.0430828479979,goat
1,884,0.0011092481,0,884.0,lah_bin_az_zubair
1,879,0.0056286338,66,881.474333148731,glorifi
1,858,0.0486668757,85,862.2000927858916,marri
1,875,0.0087635904,90,879.6163936626011,raisin
1,855,0.0227793092,93,860.0430221797047,wail
1,884,0.0011092481,0,884.0,kindli
1,879,0.0056286338,83,882.9099614343469,treat
1,878,0.0064390455,0,878.0,buath
1,867,0.0200423649,94,872.0808448762076,fat
1,880,0.0057549869,80,883.6288813749809,woolen
1,877,0.0090377307,87,881.3047146135099,shi
1,879,0.0056286338,50,880.4209220594431,qudaid
1,878,0.0137979547,71,880.8660511110642,of_ibn_umar
1,781,0.0846548606,91,786.28366382623,group
1,872,0.0109643742,76,875.3056608979517,duha
1,858,0.0247077984,77,861.4481992551845,repent
1,881,0.0039362872,50,882.4177015450223,hasnt
1,870,0.0123775711,66,872.4998567335126,junub
1,884,0.0011092481,0,884.0,hat
1,850,0.0300043209,97,855.5168028741458,direct
1,859,0.0195959250,96,864.3477309509177,abdur_rahman_bin_auf
1,859,0.0346697134,69,861.7667897987251,tent
1,876,0.0080044160,77,879.3776208205437,maker
1,884,0.0011092481,0,884.0,incompet
1,883,0.0021077134,0,883.0,tawafal_ifada
1,738,0.1183262668,57,740.1979464980972,wive
1,872,0.0109643742,69,874.7256712821454,ruqya
1,870,0.0165034282,46,871.2152432091624,instruct
1,883,0.0021077134,0,883.0,al_manasi
1,815,0.0777008804,85,819.4205269579229,refug
1,862,0.0184747200,91,866.790055319049,oppon
1,880,0.0047958224,80,883.6288813749809,samura
1,860,0.0364245698,80,863.7129152675674,tide
1,882,0.0040582235,66,884.4659405539594,kin
1,839,0.0311863399,84,843.1945208550634,jihad
1,858,0.0202154714,74,861.185229785091,witr
1,829,0.0749352594,87,833.5526378099946,your
1,881,0.0059044308,75,884.1866318826586,prevent
1,884,0.0011092481,0,884.0,fitnatil_masihid_dajj
1,874,0.0121026113,63,876.2676531745309,secret
1,884,0.0011092481,0,884.0,abu_bin_zam
1,883,0.0021077134,50,884.4144955845081,signific
1,808,0.1028807034,89,812.8868309918669,child
1,872,0.0143380278,92,876.8397801194925,one_third
1,857,0.0252935271,96,862.3601335868907,offspr
1,843,0.0386464516,92,848.0053065871699,process
1,882,0.0030436677,33,882.6171310370086,awak
1,876,0.0080044160,66,878.4827829843906,nay
1,866,0.0150990590,94,871.0866776618731,banu
1,879,0.0056286338,66,881.474333148731,al_ansariya
1,859,0.0226106827,73,862.0962823258201,foodstuff
1,722,0.0826796792,88,727.3431102306531,ali
1,884,0.0011092481,0,884.0,suhuliya
1,848,0.0381781274,91,852.8686886033512,amount
1,839,0.0379659790,91,843.9206123800982,sake
1,881,0.0039362872,75,884.1866318826586,servic
