global_cluster,global_docs,global_local,global_tf_idf,local_avg,r,signature,theta,word,x,y
zone1,4137,285935.943,4,2859279.43,10.0,514,120.0,allah,-5.0,8.66
zone1,3088,137465.82,4,1374578.20,10.0,659,240.0,apostl,-5.0,-8.66
zone2,2154,67341.977,5,673319.77,20.0,312,0.0,abu,20.0,0.0
zone3,1104,41936.225000000006,7,419222.25,30.0,544,0.0,peopl,30.0,0.0
zone4,741,22732.844,6,227208.44,40.0,316,0.0,man,40.0,0.0
zone4,915,16089.826000000001,7,160758.26,40.0,659,72.0,prayer,12.36,38.04
zone4,856,19975.957000000002,3,199699.57,40.0,518,144.0,aisha,-32.36,23.51
zone4,732,11728.361,5,117183.61,40.0,318,216.0,day,-32.36,-23.51
zone4,973,15438.072,4,154300.72,40.0,748,288.0,huraira,12.36,-38.04
zone5,373,7311.0,3,73050.00,50.0,411,0.0,hand,50.0,0.0
zone5,343,4455.804,3,44498.04,50.0,663,72.0,person,15.45,47.55
zone5,403,3718.907,2,37149.07,50.0,1742,144.0,narrated_ibn_abba,-40.45,29.39
zone5,401,5596.871,2,55928.71,50.0,304,216.0,ana,-40.45,-29.39
zone5,347,5365.637000000001,2,53616.37,50.0,1448,288.0,anas_bin_malik,15.45,-47.55
zone6,304,7542.0869999999995,2,75380.87,60.0,663,0.0,muslim,60.0,0.0
zone6,329,3637.5910000000003,3,36315.91,60.0,431,36.0,time,48.54,35.27
zone6,330,4618.811000000001,3,46128.11,60.0,538,72.0,night,18.54,57.06
zone6,309,25830.381,2,258263.81,60.0,437,108.0,umar,-18.54,57.06
zone6,286,6153.330000000001,2,61493.30,60.0,829,144.0,abdullah,-48.54,35.27
zone6,272,3643.6730000000007,3,36376.73,60.0,634,180.0,father,-60.0,0.0
zone6,291,11.455,2,74.55,60.0,333,216.0,vers,-48.54,-35.27
zone6,325,4938.360000000001,2,49343.60,60.0,622,252.0,medina,-18.54,-57.06
zone6,269,2436.206,2,24322.06,60.0,1789,288.0,narrated_ibn_umar,18.54,-57.06
zone6,283,22168.003,2,221640.03,60.0,416,324.0,bakr,48.54,-35.27
