cluster,global_distance,global_nimber_of_blocks,global_tfidf,local_distance,radious,word
1,4207,37,0.0304011015,43,4207.219747053867,wala
1,4243,1,0.0022184962,0,4243.0,fihinna
1,4240,4,0.0039362872,25,4240.073702189621,helpless
1,4243,1,0.0011092481,0,4243.0,dhu_lkhuwaisira
1,4235,9,0.0080044160,11,4235.014285690191,al_ahzab
1,4237,7,0.0064390455,28,4237.09251728116,muhajirin
1,4210,34,0.0308841941,26,4210.080284270123,invoc
1,4243,1,0.0011092481,0,4243.0,bashir_bin_kab
1,4212,32,0.0334086680,21,4212.052350102026,wood
1,4144,100,0.0871658311,41,4144.202818395837,meat
1,4206,38,0.0281381518,28,4206.093199157622,didnt
1,4238,6,0.0056286338,33,4238.128478467825,soand_so
1,4233,11,0.0103736669,27,4233.086108266639,instrument
1,4222,22,0.0209410422,4,4222.001894836145,dwell
1,4243,1,0.0011092481,0,4243.0,understood
1,4163,81,0.0613968124,35,4163.147126874092,blood
1,4241,3,0.0040582235,66,4241.513527032538,matur
1,4240,4,0.0039362872,25,4240.073702189621,sunshin
1,4243,1,0.0011092481,0,4243.0,uniti
1,4243,1,0.0011092481,0,4243.0,aiyuha_n_nabiyyu
1,4235,9,0.0080044160,77,4235.6999421583205,samura_bin_jundab
1,4241,3,0.0030436677,33,4241.128387587435,michael
1,4233,11,0.0095091946,0,4233.0,alon
1,4243,1,0.0011092481,0,4243.0,jauniyya
1,4209,35,0.0692956934,20,4209.047516956776,repli
1,4243,1,0.0011092481,0,4243.0,saudi
1,4240,4,0.0039362872,50,4240.294801072208,hubaish
1,4237,7,0.0064390455,14,4237.02312950968,huyay
1,4204,40,0.0278648709,20,4204.0475734701195,allahumma
1,4043,201,0.1149041225,29,4043.104005587786,fire
1,4242,2,0.0021077134,50,4242.294662090318,propos
1,4242,2,0.0021077134,50,4242.294662090318,lk
1,4241,3,0.0030436677,66,4241.513527032538,jahm
1,4243,1,0.0011092481,0,4243.0,faqdirhu
1,4243,1,0.0011092481,0,4243.0,raiyan
1,4224,20,0.0157604399,10,4224.0118371046265,rabbana
1,4242,2,0.0021077134,0,4242.0,al_hurr
1,4243,1,0.0011092481,0,4243.0,longarm
1,4239,5,0.0076733158,20,4239.047180676337,file
1,4240,4,0.0039362872,0,4240.0,knive
1,4236,8,0.0225943267,0,4236.0,will
1,4241,3,0.0030436677,66,4241.513527032538,hufaid
1,4243,1,0.0011092481,0,4243.0,mak
1,4239,5,0.0047958224,40,4239.1887195547215,ash_hal
1,4243,1,0.0022184962,0,4243.0,settlement
1,4243,1,0.0011092481,0,4243.0,coward
1,4242,2,0.0021077134,50,4242.294662090318,busr
1,4216,28,0.0238056726,7,4216.005811191441,me
1,4238,6,0.0056286338,16,4238.030202818286,reckon
1,4174,70,0.0777008804,1,4174.00011978917,refug
1,4240,4,0.0039362872,25,4240.073702189621,walima
1,4243,1,0.0011092481,0,4243.0,abstain
1,4243,1,0.0011092481,0,4243.0,stove
1,4240,4,0.0078725743,50,4240.294801072208,trunk
1,4243,1,0.0011092481,0,4243.0,muawiya_bin_suwald
1,4243,1,0.0011092481,0,4243.0,mursalat
1,4198,46,0.0311863399,47,4198.263093232724,maimuna
1,4242,2,0.0021077134,0,4242.0,later
1,4224,20,0.0299448358,44,4224.22916045046,snake
1,4242,2,0.0021077134,0,4242.0,barren
1,4243,1,0.0011092481,0,4243.0,student
1,4201,43,0.0405314992,11,4201.014401308332,go
1,4243,1,0.0011092481,0,4243.0,_bin_al_harith
1,4231,13,0.0109643742,61,4231.439707711786,duha
1,4243,1,0.0011092481,0,4243.0,guarantor
1,4242,2,0.0021077134,0,4242.0,maqil_bin_yasar
1,4243,1,0.0011092481,0,4243.0,yasar_bin_numair
1,4242,2,0.0021077134,0,4242.0,nerv
1,4242,2,0.0021077134,0,4242.0,disappoint
1,4243,1,0.0011092481,0,4243.0,north
1,4243,1,0.0011092481,0,4243.0,usama_bin_qatada
1,4243,1,0.0011092481,0,4243.0,atmospher
1,4235,9,0.0080044160,0,4235.0,muhammadan
1,4242,2,0.0021077134,50,4242.294662090318,admonit
