cluster,global_distance,global_tfidf,local_distance,radious,word
1,3231,0.0077647369,0,3231.0,of_ibn_qauq
1,3215,0.0266996674,35,3215.19050757494,matron
1,3229,0.0030436677,33,3229.168623655321,sunday
1,3231,0.0011092481,0,3231.0,luck
1,3229,0.0030436677,66,3229.674441797501,allah_fear
1,3223,0.0080044160,44,3223.3003273042987,barza
1,3230,0.0021077134,50,3230.386973723117,lat
1,3225,0.0082787728,14,3225.0303874537367,self_respect
1,3184,0.0349580878,39,3184.2388415443966,conquest
1,3230,0.0021077134,0,3230.0,evil_do
1,3231,0.0011092481,0,3231.0,dhi_l_hiija
1,3225,0.0073589092,14,3225.0303874537367,palat
1,3216,0.0253235701,68,3216.718825138436,murder
1,3047,0.1367213109,38,3047.2369451685245,year
1,3231,0.0011092481,0,3231.0,_bin_abu
1,3230,0.0084308537,0,3230.0,said_bin_abu
1,3226,0.0084429508,16,3226.039677375342,exchang
1,3230,0.0021077134,50,3230.386973723117,shufa
1,3230,0.0021077134,0,3230.0,headach
1,3226,0.0056286338,66,3226.675068859584,bell
1,3230,0.0021077134,0,3230.0,baitul_maqdi
1,3230,0.0021077134,0,3230.0,asim_bin_umar
1,3209,0.0300214200,39,3209.2369809660363,inherit
1,3218,0.0116758341,28,3218.121812486283,maktum
1,3231,0.0011092481,0,3231.0,imalik_bin_huwairith
1,3231,0.0011092481,0,3231.0,al_hari_bin_amr
1,3202,0.0220444927,23,3202.0826035566292,lah
1,3230,0.0021077134,50,3230.386973723117,anyhow
1,3231,0.0011092481,0,3231.0,baadta
1,3230,0.0021077134,50,3230.386973723117,tender
1,3230,0.0021077134,50,3230.386973723117,seri
1,3230,0.0021077134,0,3230.0,kab_bin_umra
1,3216,0.0220560126,43,3216.2874560586156,charg
1,3203,0.0288325404,44,3203.302202415501,la
1,3231,0.0011092481,0,3231.0,as
1,3097,0.1214812826,48,3097.3719505412973,sheep
1,3204,0.0290131635,39,3204.2373507591474,third
1,3229,0.0050727794,33,3229.168623655321,said_bin_zaid_bin_amr_bin_nufail
1,3231,0.0011092481,0,3231.0,wa_th_thalji
1,3205,0.0202154714,62,3205.599631894164,israel
1,3231,0.0022184962,0,3231.0,sheik
1,3226,0.0056286338,50,3226.38745348416,muzaina
1,3219,0.0109643742,38,3219.224285445175,sawiq
1,3215,0.0137543741,64,3215.6369509010187,wash
1,3219,0.0126512010,53,3219.43628606003,event
1,3231,0.0011092481,0,3231.0,wa_l_lana
1,3228,0.0039362872,0,3228.0,syria
1,3225,0.0064390455,0,3225.0,seal
1,3198,0.0244200605,52,3198.422736287372,muawiya
1,3223,0.0097831751,22,3223.0750844496315,step
1,3199,0.0267212934,33,3199.1702049125174,pleas
1,3109,0.0779967687,47,3109.3552386306715,journey
1,3228,0.0059044308,25,3228.096807718133,intellig
1,3229,0.0030436677,33,3229.168623655321,nafr
1,3128,0.0846548606,42,3128.2819566017383,group
1,3229,0.0030436677,66,3229.674441797501,abdullah_bin_malik_bin_buhaina
1,3227,0.0067141513,20,3227.061976473337,coitu
1,3231,0.0011092481,0,3231.0,ibadi_l_lahi
1,3231,0.0011092481,0,3231.0,literatur
1,3231,0.0011092481,0,3231.0,al_awamir
1,3230,0.0021077134,0,3230.0,twentieth
1,3231,0.0011092481,0,3231.0,al_jumua
1,3230,0.0021077134,50,3230.386973723117,destitut
1,3231,0.0022184962,0,3231.0,dispers
1,3220,0.0102424493,16,3220.0397513074277,citi
1,3195,0.0304011015,48,3195.360543037358,wala
1,3183,0.0548999010,42,3183.277085017891,amongst
1,3231,0.0011092481,0,3231.0,fransa
1,3226,0.0150096902,50,3226.38745348416,castl
1,3231,0.0011092481,0,3231.0,suburb
1,3229,0.0030436677,0,3229.0,meccan
1,3230,0.0021077134,50,3230.386973723117,sud
1,3230,0.0021077134,50,3230.386973723117,insult
1,3230,0.0021077134,50,3230.386973723117,bathroom
1,3231,0.0011092481,0,3231.0,al_mashar
1,3227,0.0047958224,20,3227.061976473337,instal
1,3220,0.0102424493,58,3220.522317885718,yahya
1,3231,0.0011092481,0,3231.0,with_ibn_masud
1,3230,0.0021077134,0,3230.0,equivoc
1,3231,0.0011092481,0,3231.0,mulku
1,3231,0.0011092481,0,3231.0,khair
1,3228,0.0039362872,25,3228.096807718133,khabbab_bin_al_art
