cluster,global_distance,global_tfidf,local_distance,radious,word
1,1006,0.0077647369,0,1006.0,of_ibn_qauq
1,1004,0.0071018912,33,1004.5421842809789,perish
1,990,0.0266996674,88,993.9034158307335,matron
1,996,0.0172894448,81,999.2882467036226,blind
1,1001,0.0056286338,66,1003.173464561339,compens
1,1004,0.0030436677,66,1006.166984153227,allah_fear
1,1005,0.0021077134,50,1006.2430123980986,lat
1,1005,0.0021077134,50,1006.2430123980986,al_firdau
1,959,0.0349580878,95,963.693934815406,conquest
1,992,0.0156782568,86,995.7208444137343,hast
1,991,0.0253235701,87,994.8115399411087,murder
1,822,0.1367213109,82,826.0798992833562,year
1,1002,0.0057549869,80,1005.1885395287792,rat
1,1001,0.0084429508,83,1004.4351646572317,exchang
1,989,0.0184389757,72,991.6173657212746,earn
1,1006,0.0011092481,0,1006.0,dote
1,869,0.1091453712,97,874.3969350357994,daughter
1,1004,0.0050727794,33,1004.5421842809789,deliveri
1,984,0.0300214200,95,988.5752373997641,inherit
1,1006,0.0011092481,0,1006.0,al_hari_bin_amr
1,977,0.0220444927,93,981.4163234835663,lah
1,1005,0.0021077134,50,1006.2430123980986,anyhow
1,1006,0.0011092481,0,1006.0,baadta
1,1005,0.0021077134,50,1006.2430123980986,tender
1,886,0.1374609863,85,890.067974932252,oath
1,978,0.0288325404,96,982.700361249552,la
1,1003,0.0039362872,0,1003.0,pant
1,869,0.0731168021,94,874.0692192269443,al_khudri
1,979,0.0290131635,85,982.6830618261414,third
1,1006,0.0011092481,0,1006.0,wa_th_thalji
1,980,0.0202154714,62,981.9592659576058,israel
1,1001,0.0056286338,33,1001.5438083279233,muzaina
1,951,0.0390966571,71,953.6466850988368,who
1,990,0.0137543741,88,993.9034158307335,wash
1,1006,0.0011092481,0,1006.0,as_salt
1,1004,0.0030436677,33,1004.5421842809789,jafar_bin_abi
1,1005,0.0021077134,50,1006.2430123980986,instant
1,973,0.0244200605,97,977.8230923843024,muawiya
1,998,0.0097831751,55,999.5143820876216,step
1,914,0.0670762425,83,917.7608620986188,bath
1,884,0.0779967687,95,889.0899841973252,journey
1,903,0.0846548606,82,906.7155011358303,group
1,1001,0.0075048451,66,1003.173464561339,moustach
1,993,0.0141777985,78,996.0587332080373,sweat
1,1006,0.0011092481,0,1006.0,enlarg
1,983,0.0443237871,95,987.5798701877231,slaughter
1,996,0.0112381391,63,997.9904809165266,abund
1,1002,0.0047958224,80,1005.1885395287792,import
1,988,0.0166884337,57,989.6428648760117,respect
1,958,0.0548999010,65,960.2025827917773,amongst
1,1006,0.0011092481,0,1006.0,allahuakbar
1,880,0.1065956550,88,884.3890546586383,husband
1,924,0.0670474021,73,926.8791722765163,relat
1,1005,0.0021077134,0,1005.0,bathroom
1,1006,0.0011092481,0,1006.0,shim
1,1000,0.0064390455,85,1003.6059983878135,muhajirin
1,1005,0.0021077134,50,1006.2430123980986,magnitud
1,1006,0.0011092481,0,1006.0,super
1,987,0.0165484619,95,991.5613949725957,wed
1,1006,0.0011092481,0,1006.0,dominion
1,1004,0.0030436677,66,1006.166984153227,public
1,998,0.0080044160,88,1001.8722473449396,street
1,995,0.0136565991,91,999.1526409913553,veget
1,1006,0.0011092481,0,1006.0,relaps
1,988,0.0190724956,73,990.6931916592544,expiat
1,898,0.0926967085,85,902.013857986672,sun
1,1005,0.0031615701,50,1006.2430123980986,pardon
1,1006,0.0011092481,0,1006.0,solomon_bin_david
1,998,0.0124513138,88,1001.8722473449396,portent
1,994,0.0109643742,92,998.2484660644362,ursa
1,1006,0.0011092481,0,1006.0,bi_hamdihi
