cluster,distance,global_tfidf,number_of_docs,word
1,16,0.0349580878,48,conquest
1,95,0.2549382413,4423,prophet
1,54,0.0603806292,107,umra
1,90,0.1620673393,433,narrated_ibn_abba
1,96,0.3360642266,2241,abu
1,83,0.1453740793,366,medina
1,90,0.2146657562,385,place
1,94,0.2663204706,4244,allah
1,55,0.0590879564,104,ihram
1,57,0.0564667911,98,tawaf
1,68,0.0878002185,177,hajj
1,92,0.3594892599,942,day
1,89,0.2064877825,352,companion
1,95,0.5362189255,1055,prayer
1,93,0.5430508541,1442,peopl
1,94,0.3236574111,3232,apostl
1,64,0.0881600352,178,kaba
1,0,0.1205336861,277,mecca
1,77,0.1367213109,185,year
1,94,0.2390274130,504,time
1,94,0.2449620133,885,aisha
