cluster,global_distance,global_tfidf,local_distance,radious,word
1,279,0.0071018912,66,286.70019183809416,perish
1,272,0.0087635904,90,286.5030540849434,azzubair
1,264,0.0144305028,88,278.2804340948174,imran_bin_husain
1,280,0.0021077134,50,284.42925306655786,anyhow
1,273,0.0080044160,77,283.6511942509673,barza
1,275,0.0082787728,85,287.8367592924851,self_respect
1,267,0.0156782568,80,278.7274654568509,hast
1,266,0.0253235701,93,281.78892810044897,murder
1,97,0.1367213109,95,135.77186748365804,year
1,280,0.0021077134,50,284.42925306655786,asi_bin_wail
1,249,0.0238325049,96,266.865134478073,usama
1,144,0.1091453712,97,173.62315513778685,daughter
1,259,0.0300214200,91,274.5214017157861,inherit
1,275,0.0073589092,85,287.8367592924851,bottom
1,252,0.0220444927,83,265.31679177918613,lah
1,281,0.0011092481,0,281.0,cane
1,253,0.0288325404,89,268.19768828235635,la
1,217,0.0650530649,96,237.28674636397204,worship
1,281,0.0011092481,0,281.0,assail
1,226,0.0390966571,80,239.74152748324602,who
1,265,0.0137543741,88,279.22929645723065,wash
1,275,0.0064390455,85,287.8367592924851,seal
1,272,0.0087635904,60,278.53904573685895,heracliu
1,248,0.0244200605,94,265.2168923730161,muawiya
1,273,0.0097831751,88,286.8327038536575,step
1,189,0.0670762425,97,212.43822631532208,bath
1,159,0.0779967687,97,186.25251676151922,journey
1,251,0.0241058126,93,267.67517628648346,coven
1,281,0.0044369925,0,281.0,hire
1,264,0.0144305028,94,280.2356151526783,bahrain
1,280,0.0021077134,50,284.42925306655786,al_as_bin_wail
1,268,0.0141777985,92,283.3513719747974,sweat
1,280,0.0021077134,50,284.42925306655786,twentieth
1,258,0.0443237871,91,273.57814240176424,slaughter
1,271,0.0112381391,90,285.55384781158176,abund
1,270,0.0102424493,91,284.9227965607526,citi
1,280,0.0021077134,50,284.42925306655786,alabba
1,233,0.0548999010,89,249.41932563456265,amongst
1,279,0.0050727794,66,286.70019183809416,attack
1,281,0.0011092481,0,281.0,wanabiyika_l_ladhi
1,279,0.0030436677,66,286.70019183809416,meccan
1,155,0.1065956550,99,183.91846019364124,husband
1,220,0.0452936227,98,240.84019598065436,intent
1,246,0.0255832403,97,264.43335644354704,ibrahim
1,270,0.0102424493,91,284.9227965607526,yahya
1,281,0.0011092481,0,281.0,aforesaid
1,281,0.0011092481,0,281.0,ring__
1,279,0.0040582235,33,280.94483444263574,wrong_doer
1,276,0.0056286338,83,288.20999288713085,wave
1,268,0.0150117866,78,279.1200458584084,concern
1,273,0.0080044160,33,274.9872724327437,muhammadan
1,281,0.0022184962,0,281.0,mad
1,255,0.0321950101,92,271.0885464197999,present
1,263,0.0222512449,89,277.6508598942204,pillar
1,281,0.0011092481,0,281.0,al_qai
1,267,0.0132027425,86,280.5084668953862,extent
1,206,0.0769260641,92,225.61028345356956,allegi
1,281,0.0011092481,0,281.0,hadhihi_d_da
1,199,0.0592651143,91,218.81956036881164,bless
1,253,0.0362254995,82,265.9567634033773,river
1,169,0.0696148392,95,193.87109119205988,compani
1,242,0.0278648709,95,259.97884529322766,allahumma
1,261,0.0203233368,85,274.4922585429323,hunger
1,238,0.0410342700,93,255.5249498581303,sleep
1,249,0.0238325049,87,263.7612556839992,qai
1,268,0.0141777985,92,283.3513719747974,shape
1,253,0.0214395814,89,268.19768828235635,humaid
1,281,0.0022184962,0,281.0,del
1,273,0.0080044160,77,283.6511942509673,satisfact
1,280,0.0021077134,50,284.42925306655786,mutarrif
1,280,0.0021077134,50,284.42925306655786,wrap
1,281,0.0011092481,0,281.0,gave
1,281,0.0011092481,0,281.0,eyewit
1,281,0.0011092481,0,281.0,then_ibn_ziyad
1,164,0.0650244471,97,190.53870997778904,salama
1,258,0.0183408774,95,274.93453766305896,musalla
1,267,0.0123775711,93,282.7330896800019,uqba
1,280,0.0031615701,50,284.42925306655786,barakta
1,278,0.0039362872,75,287.9392296996017,distinct
1,268,0.0225176800,57,273.99452549275503,famin
1,278,0.0039362872,75,287.9392296996017,bishr
1,238,0.0499250285,97,257.00778198334774,harm
1,271,0.0146960280,90,285.55384781158176,major
1,281,0.0011092481,0,281.0,favorit
1,190,0.0537954156,96,212.8755504984074,fajr
1,281,0.0011092481,0,281.0,three
1,270,0.0196313612,50,274.5906043549196,spirit
1,277,0.0047958224,80,288.3210016630769,qurra
1,280,0.0021077134,50,284.42925306655786,deepli
1,280,0.0021077134,0,280.0,assalamu
1,257,0.0295949630,92,272.9706943977686,cave
1,278,0.0039362872,75,287.9392296996017,watcher
1,200,0.1482675817,91,219.72937900972642,wa
1,271,0.0095091946,81,282.8462479864281,sidr
1,259,0.0292516400,95,275.87315925983086,weight
1,175,0.1027035002,91,197.24603925047518,tree
1,264,0.0144305028,94,280.2356151526783,ethiopia
1,269,0.0109643742,92,284.29737951659,jafar
1,281,0.0011092481,0,281.0,ghazwat_ul_khandaq
1,279,0.0030436677,66,286.70019183809416,delight
1,180,0.1044528611,95,203.5313243704762,drink
1,280,0.0031615701,50,284.42925306655786,refus
1,273,0.0080044160,77,283.6511942509673,waist_sheet
1,270,0.0102424493,91,284.9227965607526,as_safa
1,237,0.0401732131,97,256.08201811138554,portion
1,279,0.0030436677,66,286.70019183809416,wajhi
1,280,0.0021077134,50,284.42925306655786,rujz
1,244,0.0281381518,92,260.76809620810593,etc
1,281,0.0011092481,0,281.0,sirat_ad_dukhan
1,281,0.0011092481,0,281.0,wheat_bread
1,278,0.0039362872,75,287.9392296996017,ration
1,279,0.0030436677,33,280.94483444263574,khuzaima
1,278,0.0039362872,50,282.4606167238187,horsemen
1,121,0.1073807565,93,152.6106156202772,narrat
1,280,0.0021077134,50,284.42925306655786,non_arab
1,268,0.0133438103,92,283.3513719747974,act
1,271,0.0095091946,90,285.55384781158176,ad
1,212,0.0484853494,95,232.31228981696168,nobodi
1,279,0.0030436677,66,286.70019183809416,al_araj
1,273,0.0106725547,88,286.8327038536575,interv
1,279,0.0030436677,66,286.70019183809416,al_mujalid
1,274,0.0090377307,87,287.4804341168282,descript
1,195,0.0989111483,98,218.24069281414958,boy
1,253,0.0251360609,93,269.5514793133215,mind
1,251,0.0226448543,93,267.67517628648346,safiya
1,281,0.0011092481,0,281.0,al_amiri
1,281,0.0011092481,0,281.0,al_fasiqin
1,251,0.0299496460,93,267.67517628648346,as_saidi
1,281,0.0011092481,0,281.0,jawami
1,265,0.0161816166,94,281.1778796420515,desir
1,260,0.0209410422,86,273.85397568777415,arriv
1,281,0.0011092481,0,281.0,rajm
1,276,0.0056286338,66,283.78160616925123,rear
1,281,0.0011092481,0,281.0,al_mahi
1,255,0.0486668757,92,271.0885464197999,marri
1,252,0.0227793092,96,269.6664606509308,wail
1,239,0.0405314992,97,257.93410011086166,go
1,264,0.0200423649,83,276.739950133695,fat
1,275,0.0064390455,85,287.8367592924851,_ibn_masud
1,280,0.0021077134,50,284.42925306655786,uyaina_bin_badr
1,265,0.0161816166,88,279.22929645723065,thereof
