cluster,global_distance,global_tfidf,local_distance,radious,word
1,1054,0.0011092481,0,1054.0,salman_al_farsi
1,1037,0.0144305028,66,1039.098166681089,imran_bin_husain
1,1052,0.0030436677,66,1054.0683089819179,allah_fear
1,1046,0.0080044160,22,1046.2313319720454,barza
1,1048,0.0082787728,85,1051.4413916143876,self_respect
1,1051,0.0059044308,50,1052.1886712942694,intellig
1,1040,0.0156782568,60,1041.7293314484334,hast
1,1041,0.0200157155,71,1043.4184203856094,write
1,1040,0.0123775711,6,1040.0173075482926,sahu
1,870,0.1367213109,89,874.540450751136,year
1,1048,0.0073589092,42,1048.8412653972002,wahdahu
1,1022,0.0238325049,93,1026.2226853855843,usama
1,1054,0.0011092481,0,1054.0,remembr
1,1049,0.0056286338,33,1049.5189374184727,bell
1,1053,0.0021077134,50,1054.1864161522856,baitul_maqdi
1,1052,0.0050727794,33,1052.5174582875097,deliveri
1,1041,0.0116758341,92,1045.0574146906954,maktum
1,947,0.0855829677,92,951.4583543172029,money
1,1025,0.0220444927,80,1028.1172112166978,lah
1,1044,0.0112381391,45,1044.9693775417536,approach
1,934,0.1374609863,94,938.718275096421,oath
1,1026,0.0288325404,68,1028.2509421342631,la
1,1045,0.0087635904,70,1047.3418735064497,ghazawat
1,1054,0.0011092481,0,1054.0,rabbika_l_a_la
1,1027,0.0290131635,75,1029.734917345236,third
1,1052,0.0030436677,33,1052.5174582875097,muhammad_bin_al_munkadir
1,1053,0.0021077134,50,1054.1864161522856,al_hassan
1,1028,0.0202154714,96,1032.4727599312246,israel
1,1010,0.0401732131,95,1014.4579833586012,portion
1,1053,0.0021077134,50,1054.1864161522856,al_firdau
1,1042,0.0126512010,76,1044.7679168121501,event
1,1051,0.0039362872,75,1053.672624679981,wake
1,1054,0.0011092481,0,1054.0,knew
1,1051,0.0039362872,50,1052.1886712942694,al_kufa
1,1045,0.0087635904,80,1048.057727417722,heracliu
1,1021,0.0244200605,76,1023.8246920249579,muawiya
1,1046,0.0097831751,44,1046.9250211930175,step
1,962,0.0670762425,68,964.4003318124688,bath
1,932,0.0779967687,70,934.6250585127707,journey
1,1054,0.0011092481,0,1054.0,yakhsifan
1,1054,0.0011092481,0,1054.0,lahui_hamd
1,1052,0.0030436677,33,1052.5174582875097,as_salihin
1,951,0.0846548606,92,955.4396893577323,group
1,1054,0.0011092481,0,1054.0,az_zuhrl
1,1052,0.0040582235,33,1052.5174582875097,amantu
1,1050,0.0047958224,40,1050.7616285342742,import
1,1054,0.0011092481,0,1054.0,literatur
1,1053,0.0021077134,0,1053.0,surat_al_imran
1,1024,0.0306801252,90,1027.9474694749726,shade
1,1044,0.0112381391,90,1047.8721296036076,abund
1,1053,0.0021077134,0,1053.0,saiyar_bin_salama
1,1043,0.0102424493,83,1046.2972808910476,citi
1,1006,0.0548999010,91,1010.1074200301668,amongst
1,1052,0.0050727794,66,1054.0683089819179,attack
1,1054,0.0011092481,0,1054.0,wanabiyika_l_ladhi
1,928,0.1065956550,92,932.5491944128203,husband
1,972,0.0670474021,91,976.250480153531,relat
1,1053,0.0021077134,50,1054.1864161522856,addarda
1,1019,0.0255832403,86,1022.622608785861,ibrahim
1,1043,0.0102424493,66,1045.086120853205,yahya
1,1052,0.0030436677,0,1052.0,bunch
1,1054,0.0011092481,0,1054.0,aal_imran
1,1054,0.0011092481,0,1054.0,mulku
1,1053,0.0021077134,50,1054.1864161522856,magnitud
