cluster,global_distance,global_tfidf,local_distance,radious,word
1,4406,0.0266996674,17,4406.032796064959,matron
1,4422,0.0011092481,0,4422.0,salman_al_farsi
1,4422,0.0011092481,0,4422.0,luck
1,4421,0.0021077134,0,4421.0,two_third
1,4421,0.0021077134,0,4421.0,al_firdau
1,4422,0.0011092481,0,4422.0,almiswar_bin_makhrama
1,4416,0.0073589092,0,4416.0,palat
1,4422,0.0011092481,0,4422.0,_bin_abu
1,4421,0.0084308537,50,4421.2827324205355,said_bin_abu
1,4421,0.0021077134,50,4421.2827324205355,shufa
1,4421,0.0021077134,0,4421.0,headach
1,4417,0.0056286338,66,4417.493067340344,bell
1,4421,0.0021077134,0,4421.0,baitul_maqdi
1,4421,0.0021077134,0,4421.0,asim_bin_umar
1,4400,0.0300214200,47,4400.25101556718,inherit
1,4315,0.0855829677,30,4315.104286109433,money
1,4393,0.0220444927,46,4393.240831094968,lah
1,4422,0.0011092481,0,4422.0,baadta
1,4421,0.0021077134,50,4421.2827324205355,tender
1,4421,0.0021077134,0,4421.0,seri
1,4422,0.0011092481,0,4422.0,fahal_min_mudhdhakir
1,4394,0.0288325404,37,4394.155777848573,la
1,4422,0.0011092481,0,4422.0,rabbika_l_a_la
1,4395,0.0290131635,32,4395.116494474293,third
1,4420,0.0030436677,0,4420.0,muhammad_bin_al_munkadir
1,4422,0.0011092481,0,4422.0,wa_th_thalji
1,4396,0.0202154714,40,4396.181979854792,israel
1,4410,0.0109643742,7,4410.005555552057,sawiq
1,4421,0.0021077134,0,4421.0,hungri
1,4410,0.0126512010,30,4410.102039635818,event
1,4419,0.0039362872,50,4419.28286037452,al_kufa
1,4389,0.0244200605,47,4389.251644642854,muawiya
1,4419,0.0049203590,50,4419.28286037452,shine
1,4417,0.0065667395,33,4417.123271995021,wal
1,4422,0.0044369925,0,4422.0,hire
1,4420,0.0030436677,0,4420.0,as_salihin
1,4405,0.0144305028,16,4405.029057792922,bahrain
1,4418,0.0067141513,60,4418.407405389413,coitu
1,4422,0.0011092481,0,4422.0,al_jahannamiyylin
1,4422,0.0011092481,0,4422.0,al_awamir
1,4422,0.0011092481,0,4422.0,uqba_bin_sahban
1,4421,0.0021077134,50,4421.2827324205355,twentieth
1,4422,0.0011092481,0,4422.0,al_jumua
1,4412,0.0121026113,45,4412.229481792623,payment
1,4403,0.0496453856,25,4403.070973763653,rock
1,4374,0.0548999010,30,4374.102879448539,amongst
1,4422,0.0011092481,0,4422.0,genera
1,4422,0.0011092481,0,4422.0,full_moon
