label,nodeid,r,x,y
"prophet, mecca, abdullah_bin_masud, man, forehead, non_believ, suratan_najm, stone, hand, earth",1,649,17,649
"prophet, muslim, pledg, prayer, zakat, advic, jarir_bin_abdullah, allegi",2,764,20,764
"prophet, khutba, man, jabir, pray, rakat, mosqu",3,862,19,862
"deed, benefit, person, umar_bin_al_khattab, apostl, reward, woman, intent, allah, emigr",4,885,19,885
"inspir, talk, state, aisha, apostl, divin, believ, al_harith_bin_hisham, sweat, form, faith, angel, man, ring, allah, bell, prophet, mother",5,816,20,815
"prophet, seclus, desir, commenc, till, hebrew, lord, likewis, waraqa, famili, aisha, someth, one, cave, nephew, truth, mother, believ, dream, angel, man, inspir, wife, time, day, name, faith, hira, journey, apostl, stay, love, khuwailid, cousin, period, clot, khadija, food, divin, exist, form, allah",6,439,25,438
"inspir, prophet, apostl, concern, revel, _ibn_abba, explan, front, therewith, said_bin_jubair, quran, troubl, lip, said, move, statement, muhammad, tongu, allah, hast, gabriel",7,637,26,637
"month, narrated_ibn_abba, apostl, ra, generos, peopl, quran, madan, readi, peak, person, hast, wind, night, allah, deed, ramadan, gabriel",8,621,21,621
"sufyan, peopl, famili, truth, abu, man, lie, companion, ancestor, translat, apostl, heracliu, prophet, court, day, letter, fact, religion, king, anybodi, him, question, amongst, repli, allah",9,755,61,753
"iraq, apostl, urwa_bin_az_zubair, al_mughtra_bin_shuba, aziz, abi, al_ansari, narrated_ibn_shihab, zuhr, fajr, isha, dont, prayer, asr, masud, urwa, mughira, onceumar_bin_abdul, allah, gabriel",10,473,26,473
"prophet, month, time, tribe, apostl, muhammad, qai, zakat, carri, forbid, abdul, dubba, peopl, home, deleg, narrated_ibn_abba, prayer, thing, muqaiyat, khumu, raba, right, none, branch, allah, order",11,665,18,665
"muslim, apostl, pledg, zakat, advic, prayer, allah, jarir_bin_abdullah, allegi",12,1019,23,1018
"prophet, wife, apostl, hudhaifa, doubt, sea, wave, chariti, afflict, umar, prayer, allah, money, neighbor, statement, door, man, children, shaqiq",13,815,24,815
"prophet, day, narrated_ibn_masud, compulsori, apostl, prayer, offer, deed, hour, annul, woman, sin, man, night, allah, end",14,1006,17,1005
"abdullah, prophet, time, parent, caus, prayer, good, which, deed, allah, jihad",15,1005,19,1005
"prophet, day, time, apostl, prayer, huraira, deed, anyon, trace, annul, bath, door, exampl, dirt, river, allah, abu",16,1078,18,1077
"ana, prophet, time, apostl, prayer, thing, az_zuhri, damascu, anyth, anas_bin_malik, lifetim, ghailan, now_a_day, allah, somebodi",17,1003,17,1003
"ana, prophet, prayer, foot, qatada, feet, shuba, anyon, left, front, right, qibla, lord, direct",18,507,15,507
"ana, prophet, prayer, dog, person, ground, front, elbow, right, lord, fore_arm, prostrat",19,603,14,602
"hell_fir, sever, apostl, prayer, huraira, abu, abdullah_bin_umar, rage, zuhr, heat, cooler, allah, bit",20,937,16,936
"prophet, hell_fir, sever, call, bit, prayer, wait, dhar, rage, adhan, call_mak, pray, muadhdhin, zuhr, heat, weather, abu",21,483,16,482
"prophet, hell_fir, time, bit, huraira, till, winter, rage, breath, zuhr, hell, lord, cooler, abu, sever, prayer, summer, part, heat, weather, allah",22,696,15,696
"hell_fir, sever, apostl, prayer, said, abu, pray, rage, zuhr, heat, cooler, allah, bit",23,864,16,864
"prophet, call, hell_fir, while, prayer, dhar, al_ghifar, journey, adhan, maker, muadhdhin, zuhr, cooler, abu",24,588,18,588
"prophet, day, hudhafa, apostl, muhammad, hour, anas_bin_malik, sun, place, mid_day, lord, zuhr, anyth, abdullah_bin_hudhafa, father, peopl, as_sahmi, umar, hell_fir, prayer, thing, paradis, islam, pulpit, mine, judgment, allah",25,699,20,699
"prophet, time, noon, al_minh, sun, place, vers, ayat, zuhr, fajr, medina, isha, abu, one, sub_narr, prayer, quran, asr, person, man, maghrib, night, barza",26,538,17,538
"anas_bin_malik, prayer, cloth, zuhr, heat, allah, apostl",27,1304,19,1304
"prophet, ana, narrated_ibn_abba, prayer, may, aiyub, asr, maghrib, rakat, zuhr, night, medina, isha",28,602,16,602
"asr, aisha, apostl, prayer, sunshin, allah, chamber",29,1365,20,1365
"asr, shadow, aisha, time, apostl, prayer, sunshin, allah, chamber",30,1118,17,1118
"prophet, asr, aisha, time, prayer, sunshin, shadow, chamber",31,876,13,876
"prophet, hous, time, apostl, al_aslarrni, sun, place, al_, saiyar_bin_salama, mid_day, zuhr, atama, fajr, medina, love, father, peopl, one, isha, prayer, abu_, asr, ayat, man, maghrib, congreg, allah, barza",32,647,17,647
"asr, bani, amr, anas_bin_malik, prayer, _bin_auf, someon, tribe",33,258,16,257
"apostl, time, anas_bin_malik, prayer, uncl, which, aziz, asr, umar_bin_abdul, umama, bakr_bin_uthman_bin_sahl_bin_hunaif, zuhr, allah, abu",34,854,18,854
"place, time, apostl, prayer, medina, allah, sun, asr, person, anas_bin_malik, town, al_awali, mile",35,843,19,843
"asr, qubah, us, anas_bin_malik, sun",36,123,16,122
"asr, properti, apostl, prayer, narrated_ibn_umar, famili, allah",37,1326,23,1326
"cloudi, day, battl, asr, prayer, deed, al_mahh, buraida, prophet, abu",38,922,16,922
"prophet, sleep, sun_ris, jarir, qai, moon__full_moon__and, prais, sun, sunset, etc, lord, fajr, busi, asr, prayer, ismail, troubl, him, moon, rise, statement, allah",39,501,18,500
"day, state, time, apostl, prayer, huraira, ascend, everyth, success, angel, asr, slave, heaven, fajr, night, allah, abu",40,853,22,853
"asr, sunris, fajr, sunset, apostl, prayer, huraira, raka, abu, allah, anyon",41,1118,18,1118
"qirat, time, apostl, till, salim_bin_abdullah, scriptur, gold, sunset, period, lord, torah, father, peopl, stay, asr, prayer, quran, gospel, nation, allah",42,613,21,613
"prophet, muslim, time, labor, com, till, jew, christian, day, rest, mid_day, exampl, wage, need, abu, asr, prayer, batch, reward, your, up, man, morn, musa, night",43,492,16,491
"prophet, prayer, par, bow, shot, arrow, spot, rafi_bin_khadij, maghrib",44,632,13,632
"prophet, time, peopl, prayer, sun, asr, sunset, jabir_bin_abdullah, mid_day, zuhr, fajr, isha, maghrib",45,629,15,629
"prophet, horizon, maghrib, prayer, salama, sun",46,962,18,962
"prophet, narrated_ibn_abba, rakat",47,1673,18,1673
"abdullah, prophet, bedouin, maghrib, prayer, name, al_muzani, isha",48,769,18,769
"abdullah, no, year, present, apostl, prayer, complet, to_night, al_atma, earth, one, import, nobodi, hadith, night, allah, surfac, isha, peopl",49,625,15,625
"prophet, number, time, muhammad_bin_amr, peopl, prayer, sun, asr, sunset, jabir_bin_abdullah, mid_day, zuhr, morn, isha, maghrib",50,556,15,555
"prophet, day, aisha, apostl, prayer, peopl, allah, dweller, slept, umar, isha, none, mosqu, children, earth, women, islam",51,1055,21,1054
"prophet, buthan, alllah, time, peopl, companion, muisa, boat, glad, place, middl, turn, medina, isha, abu, dont, prayer, affair, baqi, apostl, none, musa, night, allah",52,807,24,807
"apostl, prayer, abu, allah, isha, barza",53,1810,26,1810
"prophet, dweller, aisha, apostl, day, till, narrated_ibn_shihab, medina, earth, isha, umar, prayer, allah, women, urwa, none, children",54,983,23,982
"prophet, dweller, sleep, time, apostl, none, head, hand, ata, harm, umar_bin_al_khattab, narrated_ibn_juraij, _ibn_juraij, hadnt, earth, isha, peopl, umar, ibn, prayer, nafi, extent, ba, abdullah_bin_umar, allah, ab",55,662,18,662
"ana, prophet, ring, peopl, prayer, midnight, till, glitter, night",56,906,17,906
"prophet, asr, sleep, fajr, prais, prayer, troubl, set, your, him, jarir_bin_abdullah, moon, rise, vers, etc, lord, night, busi, sun",57,391,18,390
"asr, apostl, prayer, musa, cool, fajr, allah, bakr_bin_abi, father, abu",58,1148,20,1148
"ana, zaid_bin_thabit, fifti, sixth, prayer, suhur, meal, ayat, interv, morn, dawn, prophet",59,522,12,522
"prophet, zaid_bin_thabit, quran, prayer, suhur, qatada, meal, ana, vers, ayat, interv, anas_bin_malik, fajr",60,558,14,558
"fajr, morn, prayer, suhur, sahl_bin_sad, meal, allah, famili, apostl",61,1014,20,1014
"home, dark, aisha, sheet, prayer, nobodi, fajr, allah, veil, women, apostl",62,907,18,907
"asr, apostl, prayer, huraira, theasr, sunset, sunris, whoever, raka, abu, fajr, allah, morn",63,948,17,948
"time, apostl, prayer, huraira, raka, allah, abu",64,1763,23,1763
"prophet, asr, umar, prayer, rise, fajr, set, sun",65,780,19,780
"narrat, narrated_ibn_abba, peopl",66,679,15,679
"time, apostl, prayer, till, do, hisham, sun, disappear, sunset, sunris, _ibn_umar, horizon, set, allah, father, edg",67,635,17,635
"kind, apostl, mulamasa, huraira, rise, till, sun, vol, al_ihtiba, sale, fajr, abu, no, hadith, way, prayer, dress, sky, part, asr, munabadha, ishtimal_assama, garment, allah, set",68,548,15,548
"sunset, apostl, none, narrated_ibn_umar, allah, sunris",69,1339,18,1339
"asr, morn, apostl, prayer, set, sun, abu, allah, rise, said, al_khudri",70,1051,19,1051
"asr, muawiya, prayer, rakat, allah, compani, apostl",71,1282,23,1282
"asr, morn, sunris, apostl, prayer, offer, sun, huraira, allah, set, abu",72,1115,18,1114
"day, time, sunset, sunris, companion, night, narrated_ibn_umar",73,364,14,363
"prophet, asr, aisha, prayer, rakat, till, allah",74,1603,23,1603
"prophet, asr, aisha, prayer, rakat, prostrat, hous, son, hisham, father, sister",75,708,18,707
"asr, aisha, apostl, prayer, rakat, fajr, allah",76,1400,22,1400
"prophet, asr, aisha, prayer, rakat, come",77,1116,19,1115
"cloudi, day, prophet, hadith, asr, prayer, no, deed, buraida, narrated_ibn_abu, malih",78,655,13,654
"prophet, sleep, peopl, apostl, hour, sun, adhan, back, slept, rahila, fajr, father, edg, bilal, prayer, qatada, abdullah_bin_abi, rest, statement, night, allah",79,766,19,766
